Name,Group,Path,URL,is_adopted
USDJPY,currency,raw_USDJPY_price.pkl,currencies/usd-jpy, True
EURJPY,currency,raw_EURJPY_price.pkl,currencies/eur-jpy, True
AUDJPY,currency,raw_AUDJPY_price.pkl,currencies/aud-jpy, True
EURUSD,currency,raw_EURUSD_price.pkl,currencies/eur-usd, True
AUDUSD,currency,raw_AUDUSD_price.pkl,currencies/aud-usd, True
EURAUD,currency,raw_EURAUD_price.pkl,currencies/eur-aud, True
USbond10,bond,raw_USbond10_price.pkl,rates-bonds/u.s.-10-year-bond-yield, True
JPbond10,bond,raw_JPbond10_price.pkl,rates-bonds/japan-10-year-bond-yield, True
GEbond10,bond,raw_GEbond10_price.pkl,rates-bonds/germany-10-year-bond-yield, True
TOPIX,stockindex,raw_topix_price.pkl,indices/topix, True
DJUS,stockindex,raw_DJUS_price.pkl,indices/us-30, True
DAX,stockindex,raw_GEDAX_price.pkl,indices/germany-30, True
MSCIEmerging,stockindex,raw_MSCIEmerging_price.pkl,indices/msci-emerging-markets, True
VIX,stockindex,raw_VIX_price.pkl,indices/volatility-s-p-500, True
AgricultureTR,commodity,raw_AgricultureTR_price.pkl,indices/bbg-agriculture-tr, True
AluminumTR,commodity,raw_AluminumTR_price.pkl,indices/bbg-aluminum-tr, True
BrentCrude,commodity,raw_BrentCrude_price.pkl,indices/bbg-brent-crude, True
CocoaTR,commodity,raw_CocoaTR_price.pkl,indices/bbg-cocoa-tr, True
CoffeeTR,commodity,raw_CoffeeTR_price.pkl,indices/bbg-coffee-tr, True
CommodityTR,commodity,raw_CommodityTR_price.pkl,indices/bbg-commodity-tr, True
Corn,commodity,raw_Corn_price.pkl,indices/bloomberg-corn, True
CottonTR,commodity,raw_CottonTR_price.pkl,indices/bbg-cotton-tr, True
EnergyTR,commodity,raw_EnergyTR_price.pkl,indices/bbg-energy-tr, True
ExEnergyTR,commodity,raw_ExEnergyTR_price.pkl,indices/bbg-exenergy-tr, True
GrainsTR,commodity,raw_GrainsTR_price.pkl,indices/bbg-grains-tr, True
IndustrialMetalsTR,commodity,raw_IndustrialMetalsTR_price.pkl,indices/bbg-industrial-metals-tr, True
LeadTR,commodity,raw_LeadTR_price.pkl,indices/bbg-lead-tr, True
LeanHogsTR,commodity,raw_LeanHogsTR_price.pkl,indices/bbg-lean-hogs-tr, True
LiveCattleTR,commodity,raw_LiveCattleTR_price.pkl,indices/bbg-live-cattle-tr, True
LivestockTR,commodity,raw_LivestockTR_price.pkl,indices/bbg-livestock-tr, True
NaturalGasTR,commodity,raw_NaturalGasTR_price.pkl,indices/bbg-natural-gas-tr, True
NickelTR,commodity,raw_NickelTR_price.pkl,indices/bbg-nickel-tr, True
PlatinumTR,commodity,raw_PlatinumTR_price.pkl,indices/bbg-platinum-tr, True
PreciousMetalsTR,commodity,raw_PreciousMetalsTR_price.pkl,indices/bbg-precious-metals-tr, True
SoftsTR,commodity,raw_SoftsTR_price.pkl,indices/bloomberg-softs-tr, True
SoybeanOilTR,commodity,raw_SoybeanOilTR_price.pkl,indices/bbg-soybean-oil-tr, True
SoybeansTR,commodity,raw_SoybeansTR_price.pkl,indices/bbg-soybeans-tr, True
SugarTR,commodity,raw_SugarTR_price.pkl,indices/bbg-sugar-tr, True
TinTR,commodity,raw_TinTR_price.pkl,indices/bbg-tin-tr, True
UnleadedGasolineTR,commodity,raw_UnleadedGasolineTR_price.pkl,indices/bbg-unleaded-gasoline-tr, True
WheatTR,commodity,raw_WheatTR_price.pkl,indices/bbg-wheat-tr, True
WTICrudeTR,commodity,raw_WTICrudeTR_price.pkl,indices/bbg-wti-crude-oil-tr, True
ZincTR,commodity,raw_ZincTR_price.pkl,indices/bbg-zinc-tr, True
RoughRice,commodity,raw_CmdRoughRice_price.pkl,commodities/rough-rice, True
Palladium,commodity,raw_CmdPalladium_price.pkl,commodities/palladium, True
FeederCattle,commodity,raw_CmdFeederCattle_price.pkl,commodities/feed-cattle, True
GasOil,commodity,raw_CmdGasOil_price.pkl,commodities/london-gas-oil, True
IronORE62,commodity,raw_CmdIronORE62_price.pkl,commodities/iron-ore-62-cfr-futures, True
BalticDry,other_index,raw_BalticDry_price.pkl,indices/baltic-dry, True
PHLX Semicondactor,other_index,raw_PHLXSemicondactor_price.pkl,indices/phlx-semiconductor, True
JPREIT,other_index,raw_JPREIT_price.pkl,indices/topix-reit-market, True
DJ_OilGas,dj_sectors,raw_DJOilGas_price.pkl,indices/dj-oil---gas, True
DJ_OilGasProducers,dj_sectors,raw_DJOilGasProducers_price.pkl,indices/dj-oil---gas-producers,False
DJ_ExplorationProduction,dj_sectors,raw_DJExplorationProduction_price.pkl,indices/dj-exploration---production,False
DJ_IntegratedOilGas,dj_sectors,raw_DJIntegratedOilGas_price.pkl,indices/dj-integrated-oil---gas,False
DJ_OilEquipServiceDistrib,dj_sectors,raw_DJOilEquipServiceDistrib_price.pkl,"indices/dj-oil-equipment,-services---dist",False
DJ_OilEquipServices,dj_sectors,raw_DJOilEquipServices_price.pkl,indices/dj-oil-equipment---services,False
DJ_Pipelines,dj_sectors,raw_DJPipelines_price.pkl,indices/dj-pipelines,False
DJ_BasicMaterials,dj_sectors,raw_DJBasicMaterials.pkl,indices/dj-basic-materials,False
DJ_Chemicals,dj_sectors,raw_DJChemicals_price.pkl,indices/dj-chemicals, True
DJ_CommodityChem,dj_sectors,raw_DJCommodityChem_price.pkl,indices/dj-commodity-chemicals,False
DJ_SpecialtyChem,dj_sectors,raw_DJSpecialtyChem_price.pkl,indices/dj-specialty-chemicals,False
DJ_BasicResources,dj_sectors,raw_DJBasicResource.pkl,indices/dj-basic-resources,False
DJ_IndustrialMetals,dj_sectors,raw_DJIndustrialMetals_price.pkl,indices/dj-industrial-metals---mining,False
DJ_Alminum,dj_sectors,raw_DJAluminum_price.pkl,indices/dj-aluminum,False
