to_neutralize,by,neutralized
DJ_ExplorationProduction,DJ_OilGasProducers,DJ_ExplorationProduction
DJ_IntegratedOilGas,DJ_OilGasProducers,DJ_IntegratedOilGas
DJ_OilGasProducers,DJ_OilGas,DJ_OilGasProducers
DJ_OilEquipServices,DJ_OilEquipServiceDistrib,DJ_OilEquipServices
DJ_Pipelines,DJ_OilEquipServiceDistrib,DJ_Pipelines
DJ_OilEquipServiceDistrib,DJ_OilGas,DJ_OilEquipServiceDistrib
DJ_OilGas,DJUS,DJ_OilGas
DJ_CommodityChem,DJ_Chemicals,DJ_CommodityChem
DJ_SpecialtyChem,DJ_Chemicals,DJ_SpecialtyChem
DJ_Chemicals,DJ_BasicMaterials,DJ_Chemicals
DJ_BasicResources,DJ_BasicMaterials,DJ_BasicResources
DJ_Alminum,DJ_IndustrialMetals,DJ_Alminum
DJ_NonferrousMetals,DJ_IndustrialMetals,DJ_NonferrousMetals
DJ_IronSteel,DJ_IndustrialMetals,DJ_IronSteel
DJ_IndustrialMetals,DJ_BasicMaterials,DJ_IndustrialMetals
DJ_Mining,DJ_BasicMaterials,DJ_Mining
DJ_BasicMaterials,DJUS,DJ_BasicMaterials
DJ_BuildingMaterialsFixtures,DJ_ConstMaterials,DJ_BuildingMaterialsFixtures
DJ_HeavyConstruction,DJ_ConstMaterials,DJ_HeavyConstruction
DJ_ConstMaterials,DJ_Industrials,DJ_ConstMaterials
DJ_Aerospace,DJ_AerospaceDefense,DJ_Aerospace
DJ_Defense,DJ_AerospaceDefense,DJ_Defense
DJ_AerospaceDefense,DJ_IndustrialGoodsServices,DJ_AerospaceDefense
DJ_ContainersPackaging,DJ_GeneralIndustrials,DJ_ContainersPackaging
DJ_DiversifiedIndustrials,DJ_GeneralIndustrials,DJ_DiversifiedIndustrials
DJ_GeneralIndustrials,DJ_IndustrialGoodsServices,DJ_GeneralIndustrials
DJ_ElectricalCompEquip,DJ_ElectronicElectrical,DJ_ElectricalCompEquip
