Name,Group,Path,URL,AdditionalScrape,AdditionalCode,is_adopted
USDJPY,currency,raw_USDJPY_price.parquet,currencies/usd-jpy,None,None,TRUE
EURJPY,currency,raw_EURJPY_price.parquet,currencies/eur-jpy,None,None,TRUE
AUDJPY,currency,raw_AUDJPY_price.parquet,currencies/aud-jpy,None,None,TRUE
EURUSD,currency,raw_EURUSD_price.parquet,currencies/eur-usd,None,None,TRUE
AUDUSD,currency,raw_AUDUSD_price.parquet,currencies/aud-usd,None,None,TRUE
EURAUD,currency,raw_EURAUD_price.parquet,currencies/eur-aud,None,None,TRUE
USbond10,bond,raw_USbond10_price.parquet,rates-bonds/u.s.-10-year-bond-yield,None,None,TRUE
USbond2,bond,raw_USbond2_price.parquet,rates-bonds/u.s.-2-year-bond-yield,None,None,TRUE
JPbond10,bond,raw_JPbond10_price.parquet,rates-bonds/japan-10-year-bond-yield,None,None,TRUE
JPbond2,bond,raw_JPbond2_price.parquet,rates-bonds/japan-2-year-bond-yield,None,None,TRUE
GEbond10,bond,raw_GEbond10_price.parquet,rates-bonds/germany-10-year-bond-yield,None,None,FALSE
GEbond2,bond,raw_GEbond2_price.parquet,rates-bonds/germany-2-year-bond-yield,None,None,FALSE
TOPIX,stockindex,raw_topix_price.parquet,indices/topix,None,None,TRUE
DJUS,stockindex,raw_DJUS_price.parquet,indices/us-30,None,None,TRUE
DAX,stockindex,raw_GEDAX_price.parquet,indices/germany-30,None,None,TRUE
MSCIEmerging,stockindex,raw_MSCIEmerging_price.parquet,indices/msci-emerging-markets,None,None,TRUE
N225,stockindex,raw_N225_price.parquet,indices/japan-ni225,None,None,FALSE
N225future,stockindex,raw_N225future_price.parquet,indices/japan-225-futures,None,None,FALSE
VIX,stockindex,raw_VIX_price.parquet,indices/volatility-s-p-500,None,None,TRUE
AgricultureTR,commodity,raw_AgricultureTR_price.parquet,indices/bbg-agriculture-tr,None,None,TRUE
AluminumTR,commodity,raw_AluminumTR_price.parquet,indices/bbg-aluminum-tr,None,None,TRUE
BrentCrude,commodity,raw_BrentCrude_price.parquet,indices/bbg-brent-crude,None,None,TRUE
CocoaTR,commodity,raw_CocoaTR_price.parquet,indices/bbg-cocoa-tr,None,None,TRUE
CoffeeTR,commodity,raw_CoffeeTR_price.parquet,indices/bbg-coffee-tr,None,None,TRUE
CommodityTR,commodity,raw_CommodityTR_price.parquet,indices/bbg-commodity-tr,None,None,TRUE
CopperTR,commodity,raw_CopperTR_price.parquet,indices/bloomberg-copper-tr,None,None,FALSE
Corn,commodity,raw_Corn_price.parquet,indices/bloomberg-corn,None,None,TRUE
CottonTR,commodity,raw_CottonTR_price.parquet,indices/bbg-cotton-tr,None,None,TRUE
EnergyTR,commodity,raw_EnergyTR_price.parquet,indices/bbg-energy-tr,None,None,TRUE
ExEnergyTR,commodity,raw_ExEnergyTR_price.parquet,indices/bbg-exenergy-tr,None,None,TRUE
GrainsTR,commodity,raw_GrainsTR_price.parquet,indices/bbg-grains-tr,None,None,TRUE
IndustrialMetalsTR,commodity,raw_IndustrialMetalsTR_price.parquet,indices/bbg-industrial-metals-tr,None,None,TRUE
LeadTR,commodity,raw_LeadTR_price.parquet,indices/bbg-lead-tr,None,None,TRUE
LeanHogsTR,commodity,raw_LeanHogsTR_price.parquet,indices/bbg-lean-hogs-tr,None,None,TRUE
LiveCattleTR,commodity,raw_LiveCattleTR_price.parquet,indices/bbg-live-cattle-tr,None,None,TRUE
LivestockTR,commodity,raw_LivestockTR_price.parquet,indices/bbg-livestock-tr,None,None,TRUE
NaturalGasTR,commodity,raw_NaturalGasTR_price.parquet,indices/bbg-natural-gas-tr,None,None,TRUE
NickelTR,commodity,raw_NickelTR_price.parquet,indices/bbg-nickel-tr,None,None,TRUE
PlatinumTR,commodity,raw_PlatinumTR_price.parquet,indices/bbg-platinum-tr,None,None,TRUE
PreciousMetalsTR,commodity,raw_PreciousMetalsTR_price.parquet,indices/bbg-precious-metals-tr,None,None,TRUE
SoftsTR,commodity,raw_SoftsTR_price.parquet,indices/bloomberg-softs-tr,None,None,TRUE
SoybeanOilTR,commodity,raw_SoybeanOilTR_price.parquet,indices/bbg-soybean-oil-tr,None,None,TRUE
SoybeansTR,commodity,raw_SoybeansTR_price.parquet,indices/bbg-soybeans-tr,None,None,TRUE
SugarTR,commodity,raw_SugarTR_price.parquet,indices/bbg-sugar-tr,None,None,TRUE
TinTR,commodity,raw_TinTR_price.parquet,indices/bbg-tin-tr,None,None,TRUE
Uranium,commodity,raw_Uranium_price.parquet,commodities/uranium-futures,None,None,FALSE
UnleadedGasolineTR,commodity,raw_UnleadedGasolineTR_price.parquet,indices/bbg-unleaded-gasoline-tr,None,None,TRUE
WheatTR,commodity,raw_WheatTR_price.parquet,indices/bbg-wheat-tr,None,None,TRUE
WTICrudeTR,commodity,raw_WTICrudeTR_price.parquet,indices/bbg-wti-crude-oil-tr,None,None,TRUE
ZincTR,commodity,raw_ZincTR_price.parquet,indices/bbg-zinc-tr,None,None,TRUE
RoughRice,commodity,raw_CmdRoughRice_price.parquet,commodities/rough-rice,None,None,TRUE
Palladium,commodity,raw_CmdPalladium_price.parquet,commodities/palladium,None,None,TRUE
FeederCattle,commodity,raw_CmdFeederCattle_price.parquet,commodities/feed-cattle,None,None,TRUE
GasOil,commodity,raw_CmdGasOil_price.parquet,commodities/london-gas-oil,None,None,TRUE
IronORE62,commodity,raw_CmdIronORE62_price.parquet,commodities/iron-ore-62-cfr-futures,Tradingview,COMEX-TIO1!,TRUE
BalticDry,other_index,raw_BalticDry_price.parquet,indices/baltic-dry,Baltic,None,TRUE
PHLX Semicondactor,other_index,raw_PHLXSemicondactor_price.parquet,indices/phlx-semiconductor,None,None,TRUE
JPREIT,other_index,raw_JPREIT_price.parquet,indices/topix-reit-market,None,None,TRUE
DJ_OilGas,dj_sectors,raw_DJOilGas_price.parquet,indices/dj-oil---gas,None,None,TRUE
DJ_OilGasProducers,dj_sectors,raw_DJOilGasProducers_price.parquet,indices/dj-oil---gas-producers,None,None,TRUE
DJ_ExplorationProduction,dj_sectors,raw_DJExplorationProduction_price.parquet,indices/dj-exploration---production,None,None,TRUE
DJ_IntegratedOilGas,dj_sectors,raw_DJIntegratedOilGas_price.parquet,indices/dj-integrated-oil---gas,None,None,TRUE
DJ_OilEquipServiceDistrib,dj_sectors,raw_DJOilEquipServiceDistrib_price.parquet,"indices/dj-oil-equipment,-services---dist",None,None,TRUE
DJ_OilEquipServices,dj_sectors,raw_DJOilEquipServices_price.parquet,indices/dj-oil-equipment---services,None,None,TRUE
DJ_Pipelines,dj_sectors,raw_DJPipelines_price.parquet,indices/dj-pipelines,None,None,TRUE
DJ_BasicMaterials,dj_sectors,raw_DJBasicMaterials.parquet,indices/dj-basic-materials,None,None,TRUE
DJ_Chemicals,dj_sectors,raw_DJChemicals_price.parquet,indices/dj-chemicals,None,None,TRUE
DJ_CommodityChem,dj_sectors,raw_DJCommodityChem_price.parquet,indices/dj-commodity-chemicals,None,None,TRUE
DJ_SpecialtyChem,dj_sectors,raw_DJSpecialtyChem_price.parquet,indices/dj-specialty-chemicals,None,None,TRUE
DJ_BasicResources,dj_sectors,raw_DJBasicResource.parquet,indices/dj-basic-resources,None,None,TRUE
DJ_IndustrialMetals,dj_sectors,raw_DJIndustrialMetals_price.parquet,indices/dj-industrial-metals---mining,None,None,TRUE
DJ_Alminum,dj_sectors,raw_DJAluminum_price.parquet,indices/dj-aluminum,None,None,TRUE
DJ_NonferrousMetals,dj_sectors,raw_DJNonferrousMetals_price.parquet,indices/dj-nonferrous-metals,None,None,TRUE
