to_neutralize,by,neutralized
ITサービス1,IT・必需品,ITサービス1
ITサービス2,IT・必需品,ITサービス2
ゲーム,IT・必需品,ゲーム
人材,IT・必需品,人材
医療機器,IT・必需品,医療機器
スーパー・コンビニ,IT・必需品,スーパー・コンビニ
ドラッグストア,IT・必需品,ドラッグストア
衛生,IT・必需品,衛生
化粧,IT・必需品,化粧
加工食品,IT・必需品,加工食品
製菓・調味料,IT・必需品,製菓・調味料
その他食品,IT・必需品,その他食品
飲料,IT・必需品,飲料
小売,IT・必需品,小売
OTC,IT・必需品,OTC
医薬品1,IT・必需品,医薬品1
医薬品2,IT・必需品,医薬品2
ガラス,ガラス・セメント,ガラス
セメント,ガラス・セメント,セメント
鉄鋼,コモディティ,鉄鋼
商社1,コモディティ,商社1
商社2,コモディティ,商社2
非鉄金属,コモディティ,非鉄金属
石油,コモディティ,石油
テレビ,メディア,テレビ
ネット,メディア,ネット
広告,メディア,広告
電話,メディア,電話
印刷,メディア,印刷
樹脂・油脂,化学,樹脂・油脂
総合化学,化学,総合化学
素材化学,化学,素材化学
塗料,化学,塗料
電子部品,機械・電機,電子部品
計測機器,機械・電機,計測機器
制御機器,機械・電機,制御機器
その他機械,機械・電機,その他機械
ロボット,機械・電機,ロボット
産機,機械・電機,産機
重機・建機,機械・電機,重機・建機
半導体,機械・電機,半導体
半導体関連装置,機械・電機,半導体関連装置
半導体材料,機械・電機,半導体材料
OA機器,機械・電機,OA機器
家電,機械・電機,家電
大規模地銀,金融,大規模地銀
中規模地銀,金融,中規模地銀
都銀,金融,都銀
保険,金融,保険
リース・ローン,金融,リース・ローン
証券・クレジット,金融,証券・クレジット
インフラ工事,建設,インフラ工事
ゼネコン,建設,ゼネコン
完成車,自動車,完成車
自動車部品1,自動車,自動車部品1
自動車部品2,自動車,自動車部品2
タイヤ,自動車,タイヤ
住宅2,住宅,住宅2
住宅1,住宅,住宅1
ガス,電気・ガス,ガス
電気,電気・ガス,電気
港湾運送,運輸,港湾運送
物流,運輸,物流
ホテル,旅客,ホテル
関西私鉄,旅客,関西私鉄
首都圏私鉄,旅客,首都圏私鉄
地方私鉄,旅客,地方私鉄
JR・航空,旅客,JR・航空
百貨店,旅客,百貨店
