Code,CompanyName,MarketCodeName,Sector33CodeName,Sector17CodeName,ScaleCategory,Listing,Level0,Level1,Level2,Level3,Level4,Level5,Cluster
4004,レゾナック・ホールディングス,プライム,化学,素材・化学,TOPIX Mid400,1,0,-1,-1.0,-1.0,-1.0,-1.0,0
5301,東海カーボン,プライム,ガラス･土石製品,建設・資材,TOPIX Mid400,1,0,-1,-1.0,-1.0,-1.0,-1.0,0
5302,日本カーボン,プライム,ガラス･土石製品,建設・資材,TOPIX Small 1,1,0,-1,-1.0,-1.0,-1.0,-1.0,0
6315,ＴＯＷＡ,プライム,機械,機械,TOPIX Small 1,1,1,1,1.0,-1.0,-1.0,-1.0,1
6590,芝浦メカトロニクス,プライム,電気機器,電機・精密,TOPIX Small 1,1,1,1,1.0,-1.0,-1.0,-1.0,1
6800,ヨコオ,プライム,電気機器,電機・精密,TOPIX Small 1,1,1,1,1.0,-1.0,-1.0,-1.0,1
6941,山一電機,プライム,電気機器,電機・精密,TOPIX Small 1,1,1,1,1.0,-1.0,-1.0,-1.0,1
7745,Ａ＆Ｄホロンホールディングス,プライム,精密機器,電機・精密,TOPIX Small 1,1,1,1,1.0,-1.0,-1.0,-1.0,1
6856,堀場製作所,プライム,電気機器,電機・精密,TOPIX Mid400,1,1,1,2.0,-1.0,-1.0,-1.0,2
7729,東京精密,プライム,精密機器,電機・精密,TOPIX Mid400,1,1,1,2.0,-1.0,-1.0,-1.0,2
4109,ステラ　ケミファ,プライム,化学,素材・化学,TOPIX Small 1,1,1,2,1.0,1.0,-1.0,-1.0,3
6055,ジャパンマテリアル,プライム,サービス業,情報通信・サービスその他,TOPIX Small 1,1,1,2,1.0,1.0,-1.0,-1.0,3
6146,ディスコ,プライム,機械,機械,TOPIX Large70,1,1,2,1.0,2.0,-1.0,-1.0,4
6966,三井ハイテック,プライム,電気機器,電機・精密,TOPIX Small 1,1,1,2,1.0,2.0,-1.0,-1.0,4
3436,ＳＵＭＣＯ,プライム,金属製品,建設・資材,TOPIX Mid400,1,1,2,2.0,1.0,-1.0,-1.0,5
5344,ＭＡＲＵＷＡ,プライム,ガラス･土石製品,建設・資材,TOPIX Mid400,1,1,2,2.0,1.0,-1.0,-1.0,5
6723,ルネサスエレクトロニクス,プライム,電気機器,電機・精密,TOPIX Large70,1,1,2,2.0,1.0,-1.0,-1.0,5
6754,アンリツ,プライム,電気機器,電機・精密,TOPIX Mid400,1,1,2,2.0,1.0,-1.0,-1.0,5
6857,アドバンテスト,プライム,電気機器,電機・精密,TOPIX Large70,1,1,2,2.0,1.0,-1.0,-1.0,5
6875,メガチップス,プライム,電気機器,電機・精密,TOPIX Small 1,1,1,2,2.0,1.0,-1.0,-1.0,5
6920,レーザーテック,プライム,電気機器,電機・精密,TOPIX Large70,1,1,2,2.0,1.0,-1.0,-1.0,5
6728,アルバック,プライム,電気機器,電機・精密,TOPIX Mid400,1,1,2,2.0,2.0,-1.0,-1.0,6
6925,ウシオ電機,プライム,電気機器,電機・精密,TOPIX Mid400,1,1,2,2.0,2.0,-1.0,-1.0,6
7735,ＳＣＲＥＥＮホールディングス,プライム,電気機器,電機・精密,TOPIX Mid400,1,1,2,2.0,2.0,-1.0,-1.0,6
8035,東京エレクトロン,プライム,電気機器,電機・精密,TOPIX Core30,1,1,2,2.0,2.0,-1.0,-1.0,6
7860,エイベックス,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,2,1,-1.0,-1.0,-1.0,-1.0,7
9601,松竹,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,2,1,-1.0,-1.0,-1.0,-1.0,7
9602,東宝,プライム,情報･通信業,情報通信・サービスその他,TOPIX Mid400,1,2,2,-1.0,-1.0,-1.0,-1.0,8
9605,東映,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,2,2,-1.0,-1.0,-1.0,-1.0,8
2749,ＪＰホールディングス,プライム,サービス業,情報通信・サービスその他,TOPIX Small 1,1,3,-1,-1.0,-1.0,-1.0,-1.0,9
2931,ユーグレナ,プライム,食料品,食品,TOPIX Small 1,1,3,-1,-1.0,-1.0,-1.0,-1.0,9
3668,コロプラ,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,3,-1,-1.0,-1.0,-1.0,-1.0,9
4565,ネクセラファーマ,プライム,医薬品,医薬品,TOPIX Small 1,1,3,-1,-1.0,-1.0,-1.0,-1.0,9
4974,タカラバイオ,プライム,化学,素材・化学,TOPIX Small 1,1,3,-1,-1.0,-1.0,-1.0,-1.0,9
2127,日本Ｍ＆Ａセンターホールディングス,プライム,サービス業,情報通信・サービスその他,TOPIX Mid400,1,4,1,1.0,-1.0,-1.0,-1.0,10
2371,カカクコム,プライム,サービス業,情報通信・サービスその他,TOPIX Mid400,1,4,1,1.0,-1.0,-1.0,-1.0,10
2413,エムスリー,プライム,サービス業,情報通信・サービスその他,TOPIX Mid400,1,4,1,1.0,-1.0,-1.0,-1.0,10
4689,ＬＩＮＥヤフー,プライム,情報･通信業,情報通信・サービスその他,TOPIX Large70,1,4,1,1.0,-1.0,-1.0,-1.0,10
2317,システナ,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,4,1,2.0,-1.0,-1.0,-1.0,11
4290,プレステージ・インターナショナル,プライム,サービス業,情報通信・サービスその他,TOPIX Small 1,1,4,1,2.0,-1.0,-1.0,-1.0,11
4722,フューチャー,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,4,1,2.0,-1.0,-1.0,-1.0,11
3774,インターネットイニシアティブ,プライム,情報･通信業,情報通信・サービスその他,TOPIX Mid400,1,4,2,1.0,-1.0,-1.0,-1.0,12
4307,野村総合研究所,プライム,情報･通信業,情報通信・サービスその他,TOPIX Mid400,1,4,2,1.0,-1.0,-1.0,-1.0,12
8715,アニコム　ホールディングス,プライム,保険業,金融（除く銀行）,TOPIX Small 1,1,4,2,1.0,-1.0,-1.0,-1.0,12
2379,ディップ,プライム,サービス業,情報通信・サービスその他,TOPIX Small 1,1,4,2,2.0,1.0,-1.0,-1.0,13
3660,アイスタイル,プライム,情報･通信業,情報通信・サービスその他,TOPIX Small 1,1,4,2,2.0,1.0,-1.0,-1.0,13
2175,エス・エム・エス,プライム,サービス業,情報通信・サービスその他,TOPIX Mid400,1,4,2,2.0,2.0,1.0,-1.0,14
