Code,CompanyName,MarketCodeName,Sector,SubSector
2127,日本Ｍ＆Ａセンターホールディングス,プライム,ITプラットホーム・ゲーム,ITプラットホーム
9744,メイテックグループホールディングス,プライム,ITプラットホーム・ゲーム,ITプラットホーム
2121,ＭＩＸＩ,プライム,ITプラットホーム・ゲーム,ITプラットホーム
2678,アスクル,プライム,ITプラットホーム・ゲーム,ITプラットホーム
3064,ＭｏｎｏｔａＲＯ,プライム,ITプラットホーム・ゲーム,ITプラットホーム
3092,ＺＯＺＯ,プライム,ITプラットホーム・ゲーム,ITプラットホーム
4751,サイバーエージェント,プライム,ITプラットホーム・ゲーム,ITプラットホーム
3769,ＧＭＯペイメントゲートウェイ,プライム,ITプラットホーム・ゲーム,ITプラットホーム
9449,ＧＭＯインターネットグループ,プライム,ITプラットホーム・ゲーム,ITプラットホーム
2379,ディップ,プライム,ITプラットホーム・ゲーム,ITプラットホーム2
3660,アイスタイル,プライム,ITプラットホーム・ゲーム,ITプラットホーム2
3659,ネクソン,プライム,ITプラットホーム・ゲーム,ゲーム
3635,コーエーテクモホールディングス,プライム,ITプラットホーム・ゲーム,ゲーム
9697,カプコン,プライム,ITプラットホーム・ゲーム,ゲーム
7832,バンダイナムコホールディングス,プライム,ITプラットホーム・ゲーム,ゲーム
9684,スクウェア・エニックス・ホールディングス,プライム,ITプラットホーム・ゲーム,ゲーム
9766,コナミグループ,プライム,ITプラットホーム・ゲーム,ゲーム
7943,ニチハ,プライム,IT中堅,ITインフラ・環境
9682,ＤＴＳ,プライム,IT中堅,ITインフラ・環境
9715,トランス・コスモス,プライム,IT中堅,ITインフラ・環境
9759,ＮＳＤ,プライム,IT中堅,ITインフラ・環境
2327,日鉄ソリューションズ,プライム,IT中堅,ITインフラ・環境
9719,ＳＣＳＫ,プライム,IT中堅,ITインフラ・環境
9793,ダイセキ,プライム,IT中堅,ITインフラ・環境
3626,ＴＩＳ,プライム,IT中堅,ITインフラ・環境
8056,ＢＩＰＲＯＧＹ,プライム,IT中堅,ITインフラ・環境
3182,オイシックス・ラ・大地,プライム,IT中堅,IT中堅（DX）
