Code,CompanyName,MarketCodeName,Sector33CodeName,Sector17CodeName,ScaleCategory,Listing,Level0,Level1,Level2,Level3,Cluster
OA機器,,,,,,,0,-1,-1.0,-1.0,0
複合機,,,,,,,0,-1,-1.0,-1.0,0
地銀1,,,,,,,1,-1,-1.0,-1.0,1
地銀2,,,,,,,1,-1,-1.0,-1.0,1
製紙,,,,,,,1,-1,-1.0,-1.0,1
都銀,,,,,,,1,-1,-1.0,-1.0,1
食品1,,,,,,,2,1,-1.0,-1.0,2
食品5,,,,,,,2,1,-1.0,-1.0,2
即席めん,,,,,,,2,2,1.0,-1.0,3
食品4,,,,,,,2,2,1.0,-1.0,3
酒・たばこ,,,,,,,2,2,2.0,-1.0,4
飲料,,,,,,,2,2,2.0,-1.0,4
ガス,,,,,,,3,-1,-1.0,-1.0,5
電力,,,,,,,3,-1,-1.0,-1.0,5
損保,,,,,,,4,-1,-1.0,-1.0,6
生保,,,,,,,4,-1,-1.0,-1.0,6
電話,,,,,,,4,-1,-1.0,-1.0,6
その他2,,,,,,,5,-1,-1.0,-1.0,7
化学4,,,,,,,5,-1,-1.0,-1.0,7
文具,,,,,,,5,-1,-1.0,-1.0,7
商社,,,,,,,6,-1,-1.0,-1.0,8
石油,,,,,,,6,-1,-1.0,-1.0,8
JR,,,,,,,7,-1,-1.0,-1.0,9
私鉄,,,,,,,7,-1,-1.0,-1.0,9
空運,,,,,,,7,-1,-1.0,-1.0,9
海運,,,,,,,8,-1,-1.0,-1.0,10
陸運,,,,,,,8,-1,-1.0,-1.0,10
ガラス,,,,,,,9,1,-1.0,-1.0,11
重工,,,,,,,9,1,-1.0,-1.0,11
自動車4,,,,,,,9,2,-1.0,-1.0,12
自動車5,,,,,,,9,2,-1.0,-1.0,12
IT1,,,,,,,10,1,1.0,-1.0,13
ゲーム,,,,,,,10,1,1.0,-1.0,13
パチンコ,,,,,,,10,1,1.0,-1.0,13
半導体,,,,,,,10,1,1.0,-1.0,13
自動車6,,,,,,,10,1,2.0,-1.0,14
電子部品,,,,,,,10,1,2.0,-1.0,14
化学3,,,,,,,10,2,1.0,-1.0,15
化粧・衛生,,,,,,,10,2,1.0,-1.0,15
電線,,,,,,,10,2,1.0,-1.0,15
化学6,,,,,,,10,2,2.0,-1.0,16
塗料,,,,,,,10,2,2.0,-1.0,16
機械,,,,,,,10,2,2.0,-1.0,16
重機,,,,,,,10,2,2.0,-1.0,16
重電,,,,,,,10,2,2.0,-1.0,16
化学1,,,,,,,11,1,-1.0,-1.0,17
化学5,,,,,,,11,1,-1.0,-1.0,17
建設5,,,,,,,11,1,-1.0,-1.0,17
化学2,,,,,,,11,2,-1.0,-1.0,18
酸素,,,,,,,11,2,-1.0,-1.0,18
リース,,,,,,,12,-1,-1.0,-1.0,19
証券1,,,,,,,12,-1,-1.0,-1.0,19
金融,,,,,,,12,-1,-1.0,-1.0,19
その他1,,,,,,,13,1,-1.0,-1.0,20
印刷,,,,,,,13,1,-1.0,-1.0,20
食品2,,,,,,,13,1,-1.0,-1.0,20
食品3,,,,,,,13,1,-1.0,-1.0,20
テレビ,,,,,,,13,2,-1.0,-1.0,21
広告,,,,,,,13,2,-1.0,-1.0,21
IT2,,,,,,,14,-1,-1.0,-1.0,22
IT3,,,,,,,14,-1,-1.0,-1.0,22
IT4,,,,,,,14,-1,-1.0,-1.0,22
パソコン,,,,,,,14,-1,-1.0,-1.0,22
インフラ工事,,,,,,,15,1,-1.0,-1.0,23
建設2,,,,,,,15,1,-1.0,-1.0,23
建設3,,,,,,,15,1,-1.0,-1.0,23
セメント,,,,,,,15,2,-1.0,-1.0,24
住宅,,,,,,,15,2,-1.0,-1.0,24
建設4,,,,,,,15,2,-1.0,-1.0,24
鉄鋼,,,,,,,16,-1,-1.0,-1.0,25
非鉄金属1,,,,,,,16,-1,-1.0,-1.0,25
非鉄金属2,,,,,,,16,-1,-1.0,-1.0,25
タイヤ,,,,,,,17,1,-1.0,-1.0,26
自動車1,,,,,,,17,1,-1.0,-1.0,26
自動車2,,,,,,,17,2,-1.0,-1.0,27
自動車3,,,,,,,17,2,-1.0,-1.0,27
その他3,,,,,,,18,-1,-1.0,-1.0,28
リゾート,,,,,,,18,-1,-1.0,-1.0,28
外食1,,,,,,,18,-1,-1.0,-1.0,28
医療機器,,,,,,,19,-1,-1.0,-1.0,29
警備・化学,,,,,,,19,-1,-1.0,-1.0,29
ドラッグストア,,,,,,,20,1,-1.0,-1.0,30
百貨店,,,,,,,20,1,-1.0,-1.0,30
総合スーパー,,,,,,,20,1,-1.0,-1.0,30
家電量販店,,,,,,,20,2,-1.0,-1.0,31
小売り大手,,,,,,,20,2,-1.0,-1.0,31
不動産1,,,,,,,21,1,-1.0,-1.0,32
不動産2,,,,,,,21,1,-1.0,-1.0,32
不動産3,,,,,,,21,1,-1.0,-1.0,32
医薬品1,,,,,,,21,2,-1.0,-1.0,33
医薬品2,,,,,,,21,2,-1.0,-1.0,33
医薬品卸,,,,,,,21,2,-1.0,-1.0,33
