,Code,Sector,Sector33CodeName
0,1332,食品1,
1,1333,食品1,
2,1377,食品1,
3,1379,食品運搬・販売,
4,1414,土木・道路,
5,1417,インフラ整備,
6,1419,不動産,
7,1435,ｒｏｂｏｔ　ｈｏｍｅ,
8,1515,非鉄金属,
9,1518,三井系,
10,1605,石油,
11,1662,石油,
12,1719,ゼネコン,
13,1720,中堅ゼネコン・設計,
14,1721,インフラ整備,
15,1762,中堅ゼネコン・設計,
16,1766,住宅,
17,1801,ゼネコン,
18,1802,ゼネコン,
19,1803,ゼネコン,
20,1805,中堅ゼネコン・設計,
21,1808,住宅,
22,1812,ゼネコン,
23,1813,土木・道路,
24,1815,中堅ゼネコン・設計,
25,1820,ゼネコン,
26,1821,中堅ゼネコン・設計,
27,1822,土木・道路,
28,1833,中堅ゼネコン・設計,
29,1835,ゼネコン,
30,1852,中堅ゼネコン・設計,
31,1860,ゼネコン,
32,1861,中堅ゼネコン・設計,
33,1878,住宅,
34,1884,土木・道路,
35,1885,土木・道路,
36,1888,中堅ゼネコン・設計,
37,1890,土木・道路,
38,1893,土木・道路,
39,1898,中堅ゼネコン・設計,
40,1899,中堅ゼネコン・設計,
41,1911,住宅,
42,1925,住宅,
43,1926,土木・道路,
44,1928,住宅,
45,1934,インフラ整備,
46,1941,インフラ整備,
47,1942,インフラ整備,
48,1944,インフラ整備,
49,1945,インフラ整備,
50,1950,インフラ整備,
51,1951,インフラ整備,
52,1959,インフラ整備,
53,1961,インフラ整備,
54,1963,重機・重工,
55,1968,インフラ整備,
56,1969,インフラ整備,
57,1973,インフラ整備,
58,1979,インフラ整備,
59,2001,食品2,
60,2002,食品1,
61,2004,食品1,
62,2060,フィード・ワン,
63,2109,食品1,
64,2120,その他レジャー,
65,2121,PC・ソシャゲ,
66,2124,その他サービス,
67,2127,ITサービス,
68,2146,ITソリューション,
69,2154,SIer,
70,2157,その他レジャー,
71,2168,人材・web,
72,2170,ITソリューション,
73,2175,ITサービス,
74,2181,人材・web,
75,2193,ITサービス,
76,2201,食品1,
77,2206,食品1,
78,2212,食品1,
79,2220,食品2,
80,2222,その他レジャー,
81,2229,食品1,
82,2264,食品1,
83,2267,食品1,
84,2269,食品1,
85,2270,食品1,
86,2281,食品2,
87,2282,食品1,
88,2292,食品1,
89,2296,伊藤ハム米久ホールディングス,
90,2317,ITソリューション,
91,2326,ITソリューション,
92,2327,ソフトウェア,
93,2331,食品1,
94,2337,不動産,
95,2353,日本駐車場開発,
96,2371,ITサービス,
97,2379,人材・web,
98,2384,物流,
99,2389,デジタルホールディングス,
100,2395,製薬,
101,2413,ITサービス,
102,2432,PC・ソシャゲ,
103,2433,印刷・広告,
104,2440,外食1,
105,2461,ファンコミュニケーションズ,
106,2471,ITソリューション,
107,2475,ＷＤＢホールディングス,
108,2491,ITソリューション,
109,2492,ITサービス,
110,2501,飲料,
111,2502,飲料,
112,2503,飲料,
113,2531,印刷・広告,
114,2579,飲料,
115,2587,飲料,
116,2590,食品2,
117,2593,食品2,
118,2594,食品運搬・販売,
119,2602,食品2,
120,2607,食品1,
121,2651,コンビニ,
122,2659,スーパー,
123,2664,ドラッグストア,
124,2670,小売,
125,2678,小売,
126,2681,小売,
127,2685,アパレル2,
128,2695,外食1,
129,2726,アパレル2,
130,2730,家電量販店,
131,2733,小売,
132,2752,外食2・学習塾,
133,2760,半導体1,
134,2767,OA機器・時計,
135,2768,商社,
136,2784,医薬品卸,
137,2791,スーパー,
138,2792,外食2・学習塾,
139,2801,食品1,
140,2802,食品1,
141,2809,食品1,
142,2810,食品1,
143,2811,食品2,
144,2815,食品1,
145,2871,食品1,
146,2874,食品運搬・販売,
147,2875,食品1,
148,2897,食品1,
149,2908,食品2,
150,2910,食品運搬・販売,
151,2914,遊戯機器,
152,2915,食品2,
153,2918,食品2,
154,2929,ITソリューション,
155,2930,北の達人コーポレーション,
156,2931,外食2・学習塾,
157,3001,片倉工業,
158,3002,アパレル1,
159,3003,不動産,
160,3028,小売2,
161,3031,ITソリューション,
162,3034,調剤薬局,
163,3036,商社,
