Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
4661,オリエンタルランド,0,1,1,-1,-1,-1,0,私鉄,鉄道・空運
9009,京成電鉄,0,1,1,-1,-1,-1,0,私鉄,鉄道・空運
9005,東急,0,1,2,1,-1,-1,1,私鉄,鉄道・空運
9007,小田急電鉄,0,1,2,1,-1,-1,1,私鉄,鉄道・空運
9006,京浜急行電鉄,0,1,2,2,-1,-1,2,私鉄,鉄道・空運
9008,京王電鉄,0,1,2,2,-1,-1,2,私鉄,鉄道・空運
9001,東武鉄道,0,2,-1,-1,-1,-1,3,私鉄,鉄道・空運
9045,京阪ホールディングス,0,2,1,-1,-1,-1,4,私鉄,鉄道・空運
9048,名古屋鉄道,0,2,1,-1,-1,-1,4,私鉄,鉄道・空運
9003,相鉄ホールディングス,0,2,2,1,-1,-1,5,私鉄,鉄道・空運
9031,西日本鉄道,0,2,2,1,-1,-1,5,私鉄,鉄道・空運
9044,南海電気鉄道,0,2,2,1,-1,-1,5,私鉄,鉄道・空運
9041,近鉄グループホールディングス,0,2,2,2,-1,-1,6,私鉄,鉄道・空運
9042,阪急阪神ホールディングス,0,2,2,2,-1,-1,6,私鉄,鉄道・空運
9020,東日本旅客鉄道,1,-1,-1,-1,-1,-1,7,JR,鉄道・空運
9021,西日本旅客鉄道,1,-1,-1,-1,-1,-1,7,JR,鉄道・空運
9022,東海旅客鉄道,1,-1,-1,-1,-1,-1,7,JR,鉄道・空運
9602,東宝,1,-1,-1,-1,-1,-1,7,JR,鉄道・空運
7180,九州フィナンシャルグループ,2,1,-1,-1,-1,-1,8,地銀1,地銀
7337,ひろぎんホールディングス,2,1,-1,-1,-1,-1,8,地銀1,地銀
8410,セブン銀行,2,1,-1,-1,-1,-1,8,地銀1,地銀
5830,いよぎんホールディングス,2,2,1,-1,-1,-1,9,地銀1,地銀
5832,ちゅうぎんフィナンシャルグループ,2,2,1,-1,-1,-1,9,地銀1,地銀
8418,山口フィナンシャルグループ,2,2,1,-1,-1,-1,9,地銀1,地銀
8334,群馬銀行,2,2,2,1,-1,-1,10,地銀1,地銀
8377,ほくほくフィナンシャルグループ,2,2,2,1,-1,-1,10,地銀1,地銀
8341,七十七銀行,2,2,2,2,-1,-1,11,地銀1,地銀
8359,八十二銀行,2,2,2,2,-1,-1,11,地銀1,地銀
5706,三井金属鉱業,3,-1,-1,-1,-1,-1,12,非鉄金属1,非鉄金属
5713,住友金属鉱山,3,-1,-1,-1,-1,-1,12,非鉄金属1,非鉄金属
9506,東北電力,4,1,-1,-1,-1,-1,13,電力,電力
6753,シャープ,4,1,1,-1,-1,-1,14,電力,電力
9501,東京電力ホールディングス,4,1,1,-1,-1,-1,14,電力,電力
9504,中国電力,4,1,2,-1,-1,-1,15,電力,電力
9505,北陸電力,4,1,2,-1,-1,-1,15,電力,電力
9513,電源開発,4,1,2,-1,-1,-1,15,電力,電力
9502,中部電力,4,2,1,-1,-1,-1,16,電力,電力
9503,関西電力,4,2,1,-1,-1,-1,16,電力,電力
9507,四国電力,4,2,2,-1,-1,-1,17,電力,電力
9508,九州電力,4,2,2,-1,-1,-1,17,電力,電力
