Code,CompanyName,Sector33CodeName,Sector
2175,エス・エム・エス,サービス業,ITインフラ
2413,エムスリー,サービス業,ITインフラ
3697,ＳＨＩＦＴ,情報･通信業,ITインフラ
3769,ＧＭＯペイメントゲートウェイ,情報･通信業,ITインフラ
4307,野村総合研究所,情報･通信業,ITインフラ
4684,オービック,情報･通信業,ITインフラ
4739,伊藤忠テクノソリューションズ,情報･通信業,ITインフラ
4768,大塚商会,情報･通信業,ITインフラ
3923,ラクス,情報･通信業,ITインフラ
3994,マネーフォワード,情報･通信業,ITインフラ
4443,Ｓａｎｓａｎ,情報･通信業,ITインフラ
4902,コニカミノルタ,電気機器,OA機器
6448,ブラザー工業,電気機器,OA機器
6724,セイコーエプソン,電気機器,OA機器
6752,パナソニック　ホールディングス,電気機器,OA機器
6753,シャープ,電気機器,OA機器
6952,カシオ計算機,電気機器,OA機器
7731,ニコン,精密機器,OA機器
7752,リコー,電気機器,OA機器
1414,ショーボンドホールディングス,建設業,インフラ
1417,ミライト・ワン,建設業,インフラ
1721,コムシスホールディングス,建設業,インフラ
1944,きんでん,建設業,インフラ
1951,エクシオグループ,建設業,インフラ
1959,九電工,建設業,インフラ
3880,大王製紙,パルプ・紙,インフラ
3941,レンゴー,パルプ・紙,インフラ
6436,アマノ,機械,インフラ
6755,富士通ゼネラル,電気機器,インフラ
7458,第一興商,卸売業,エンタメ
8136,サンリオ,卸売業,エンタメ
8174,日本瓦斯,小売業,ガス
9531,東京瓦斯,電気･ガス業,ガス
9532,大阪瓦斯,電気･ガス業,ガス
9533,東邦瓦斯,電気･ガス業,ガス
3105,日清紡ホールディングス,電気機器,ガラス・機械
5201,ＡＧＣ,ガラス･土石製品,ガラス・機械
5214,日本電気硝子,ガラス･土石製品,ガラス・機械
5333,日本碍子,ガラス･土石製品,ガラス・機械
5631,日本製鋼所,機械,ガラス・機械
5801,古河電気工業,非鉄金属,ガラス・機械
5803,フジクラ,非鉄金属,ガラス・機械
6103,オークマ,機械,ガラス・機械
6113,アマダ,機械,ガラス・機械
6136,オーエスジー,機械,ガラス・機械
6141,ＤＭＧ森精機,機械,ガラス・機械
6301,小松製作所,機械,ガラス・機械
6302,住友重機械工業,機械,ガラス・機械
6305,日立建機,機械,ガラス・機械
6361,荏原製作所,機械,ガラス・機械
6395,タダノ,機械,ガラス・機械
6471,日本精工,機械,ガラス・機械
6472,ＮＴＮ,機械,ガラス・機械
6473,ジェイテクト,機械,ガラス・機械
6674,ジーエス・ユアサ　コーポレーション,電気機器,ガラス・機械
7012,川崎重工業,輸送用機器,ガラス・機械
7732,トプコン,精密機器,ガラス・機械
4980,デクセリアルズ,化学,ガラス・機械
2651,ローソン,小売業,スーパー・コンビニ
3038,神戸物産,卸売業,スーパー・コンビニ
3382,セブン＆アイ・ホールディングス,小売業,スーパー・コンビニ
7532,パン・パシフィック・インターナショナルホールディングス,小売業,スーパー・コンビニ
8267,イオン,小売業,スーパー・コンビニ
8279,ヤオコー,小売業,スーパー・コンビニ
1801,大成建設,建設業,ゼネコン
1802,大林組,建設業,ゼネコン
1803,清水建設,建設業,ゼネコン
1812,鹿島建設,建設業,ゼネコン
1820,西松建設,建設業,ゼネコン
1860,戸田建設,建設業,ゼネコン
1893,五洋建設,建設業,ゼネコン
5076,インフロニア・ホールディングス,建設業,ゼネコン
3774,インターネットイニシアティブ,情報･通信業,その他工業
4206,アイカ工業,化学,その他工業
6005,三浦工業,機械,その他工業
6370,栗田工業,機械,その他工業
5105,ＴＯＹＯ　ＴＩＲＥ,ゴム製品,タイヤ
5101,横浜ゴム,ゴム製品,タイヤ
5108,ブリヂストン,ゴム製品,タイヤ
5110,住友ゴム工業,ゴム製品,タイヤ
3003,ヒューリック,不動産業,ディベロッパー
3231,野村不動産ホールディングス,不動産業,ディベロッパー
3289,東急不動産ホールディングス,不動産業,ディベロッパー
8801,三井不動産,不動産業,ディベロッパー
8802,三菱地所,不動産業,ディベロッパー
8804,東京建物,不動産業,ディベロッパー
8830,住友不動産,不動産業,ディベロッパー
8905,イオンモール,不動産業,ディベロッパー
4755,楽天グループ,サービス業,トヨタ他
6134,ＦＵＪＩ,機械,トヨタ他
6326,クボタ,機械,トヨタ他
6758,ソニーグループ,電気機器,トヨタ他
7203,トヨタ自動車,輸送用機器,トヨタ他
9984,ソフトバンクグループ,情報･通信業,トヨタ他
3088,マツキヨココカラ＆カンパニー,小売業,ドラッグストア
3141,ウエルシアホールディングス,小売業,ドラッグストア
3349,コスモス薬品,小売業,ドラッグストア
3391,ツルハホールディングス,小売業,ドラッグストア
7649,スギホールディングス,小売業,ドラッグストア
9627,アインホールディングス,小売業,ドラッグストア
9989,サンドラッグ,小売業,ドラッグストア
3549,クスリのアオキホールディングス,小売業,ドラッグストア
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,ビジネス
2412,ベネフィット・ワン,サービス業,ビジネス
3626,ＴＩＳ,情報･通信業,ビジネス
4686,ジャストシステム,情報･通信業,ビジネス
6098,リクルートホールディングス,サービス業,ビジネス
7518,ネットワンシステムズ,情報･通信業,ビジネス
8056,ＢＩＰＲＯＧＹ,情報･通信業,ビジネス
9719,ＳＣＳＫ,情報･通信業,ビジネス
4483,ＪＭＤＣ,情報･通信業,ビジネス
2432,ディー・エヌ・エー,サービス業,メディア
2433,博報堂ＤＹホールディングス,サービス業,メディア
4324,電通グループ,サービス業,メディア
4676,フジ・メディア・ホールディングス,情報･通信業,メディア
6460,セガサミーホールディングス,機械,メディア
7164,全国保証,その他金融業,メディア
7911,凸版印刷,その他製品,メディア
7912,大日本印刷,その他製品,メディア
7936,アシックス,その他製品,メディア
9401,ＴＢＳホールディングス,情報･通信業,メディア
9404,日本テレビホールディングス,情報･通信業,メディア
9468,ＫＡＤＯＫＡＷＡ,情報･通信業,メディア
6268,ナブテスコ,機械,ロボ・産機
6273,ＳＭＣ,機械,ロボ・産機
6383,ダイフク,機械,ロボ・産機
6481,ＴＨＫ,機械,ロボ・産機
6506,安川電機,電気機器,ロボ・産機
6645,オムロン,電気機器,ロボ・産機
6954,ファナック,電気機器,ロボ・産機
9962,ミスミグループ本社,卸売業,ロボ・産機
2784,アルフレッサ　ホールディングス,卸売業,医薬品卸
7459,メディパルホールディングス,卸売業,医薬品卸
8129,東邦ホールディングス,卸売業,医薬品卸
9987,スズケン,卸売業,医薬品卸
2181,パーソルホールディングス,サービス業,医療機器等
2427,アウトソーシング,サービス業,医療機器等
4543,テルモ,精密機器,医療機器等
4704,トレンドマイクロ,情報･通信業,医療機器等
6869,シスメックス,電気機器,医療機器等
7309,シマノ,輸送用機器,医療機器等
7733,オリンパス,精密機器,医療機器等
7747,朝日インテック,精密機器,医療機器等
7951,ヤマハ,その他製品,医療機器等
9613,ＮＴＴデータグループ,情報･通信業,医療機器等
9744,メイテック,サービス業,医療機器等
9766,コナミグループ,情報･通信業,医療機器等
3360,シップヘルスケアホールディングス,卸売業,医療機器販売
6849,日本光電工業,電気機器,医療機器販売
3402,東レ,繊維製品,化学
3405,クラレ,化学,化学
3407,旭化成,化学,化学
4004,レゾナック・ホールディングス,化学,化学
4005,住友化学,化学,化学
4042,東ソー,化学,化学
4043,トクヤマ,化学,化学
4061,デンカ,化学,化学
4118,カネカ,化学,化学
4182,三菱瓦斯化学,化学,化学
4183,三井化学,化学,化学
4188,三菱ケミカルグループ,化学,化学
4202,ダイセル,化学,化学
4205,日本ゼオン,化学,化学
4208,ＵＢＥ,化学,化学
4631,ＤＩＣ,化学,化学
5301,東海カーボン,ガラス･土石製品,化学
5444,大和工業,鉄鋼,化学
4527,ロート製薬,医薬品,化粧・衛生
8283,ＰＡＬＴＡＣ,卸売業,化粧・衛生
9843,ニトリホールディングス,小売業,化粧・衛生
3064,ＭｏｎｏｔａＲＯ,小売業,化粧・衛生
4452,花王,化学,化粧・衛生
4911,資生堂,化学,化粧・衛生
4912,ライオン,化学,化粧・衛生
4919,ミルボン,化学,化粧・衛生
4921,ファンケル,化学,化粧・衛生
4922,コーセー,化学,化粧・衛生
4927,ポーラ・オルビスホールディングス,化学,化粧・衛生
4967,小林製薬,化学,化粧・衛生
7956,ピジョン,その他製品,化粧・衛生
8113,ユニ・チャーム,化学,化粧・衛生
9101,日本郵船,海運業,海運
9104,商船三井,海運業,海運
9107,川崎汽船,海運業,海運
3197,すかいらーくホールディングス,小売業,外食
7550,ゼンショーホールディングス,小売業,外食
7616,コロワイド,小売業,外食
9861,吉野家ホールディングス,小売業,外食
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,外食
4689,Ｚホールディングス,情報･通信業,光学
4751,サイバーエージェント,サービス業,光学
4901,富士フイルムホールディングス,化学,光学
6845,アズビル,電気機器,光学
6861,キーエンス,電気機器,光学
6965,浜松ホトニクス,電気機器,光学
7701,島津製作所,精密機器,光学
7741,ＨＯＹＡ,精密機器,光学
9449,ＧＭＯインターネットグループ,情報･通信業,光学
9042,阪急阪神ホールディングス,陸運業,私鉄
9048,名古屋鉄道,陸運業,私鉄
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,私鉄
9602,東宝,情報･通信業,私鉄
4661,オリエンタルランド,サービス業,私鉄
9001,東武鉄道,陸運業,私鉄
9003,相鉄ホールディングス,陸運業,私鉄
9006,京浜急行電鉄,陸運業,私鉄
9007,小田急電鉄,陸運業,私鉄
9008,京王電鉄,陸運業,私鉄
9009,京成電鉄,陸運業,私鉄
9031,西日本鉄道,陸運業,私鉄
9041,近鉄グループホールディングス,陸運業,私鉄
9044,南海電気鉄道,陸運業,私鉄
9045,京阪ホールディングス,陸運業,私鉄
9601,松竹,情報･通信業,私鉄
3116,トヨタ紡織,輸送用機器,自動車
5334,日本特殊陶業,ガラス･土石製品,自動車
5802,住友電気工業,非鉄金属,自動車
5991,日本発條,金属製品,自動車
6201,豊田自動織機,輸送用機器,自動車
6902,デンソー,輸送用機器,自動車
6923,スタンレー電気,電気機器,自動車
7201,日産自動車,輸送用機器,自動車
7202,いすゞ自動車,輸送用機器,自動車
7205,日野自動車,輸送用機器,自動車
7211,三菱自動車工業,輸送用機器,自動車
7240,ＮＯＫ,輸送用機器,自動車
7259,アイシン,輸送用機器,自動車
7261,マツダ,輸送用機器,自動車
7267,本田技研工業,輸送用機器,自動車
7269,スズキ,輸送用機器,自動車
7270,ＳＵＢＡＲＵ,輸送用機器,自動車
7272,ヤマハ発動機,輸送用機器,自動車
7276,小糸製作所,電気機器,自動車
7282,豊田合成,輸送用機器,自動車
7313,テイ・エス　テック,輸送用機器,自動車
7988,ニフコ,化学,自動車
1808,長谷工コーポレーション,建設業,住宅
1878,大東建託,不動産業,住宅
1911,住友林業,建設業,住宅
1925,大和ハウス工業,建設業,住宅
1928,積水ハウス,建設業,住宅
3288,オープンハウスグループ,不動産業,住宅
3291,飯田グループホールディングス,不動産業,住宅
5332,ＴＯＴＯ,ガラス･土石製品,住宅
5947,リンナイ,金属製品,住宅
1963,日揮ホールディングス,建設業,重工業
7011,三菱重工業,機械,重工業
7013,ＩＨＩ,機械,重工業
2768,双日,卸売業,商社
8001,伊藤忠商事,卸売業,商社
8002,丸紅,卸売業,商社
8015,豊田通商,卸売業,商社
8031,三井物産,卸売業,商社
8053,住友商事,卸売業,商社
8058,三菱商事,卸売業,商社
8088,岩谷産業,卸売業,商社
2331,綜合警備保障,サービス業,小売・サービス
2371,カカクコム,サービス業,小売・サービス
2670,エービーシー・マート,小売業,小売・サービス
2914,日本たばこ産業,食料品,小売・サービス
3092,ＺＯＺＯ,小売業,小売・サービス
3635,コーエーテクモホールディングス,情報･通信業,小売・サービス
3659,ネクソン,情報･通信業,小売・サービス
4544,Ｈ．Ｕ．グループホールディングス,サービス業,小売・サービス
4552,ＪＣＲファーマ,医薬品,小売・サービス
4665,ダスキン,サービス業,小売・サービス
4732,ユー・エス・エス,サービス業,小売・サービス
6028,テクノプロ・ホールディングス,サービス業,小売・サービス
6417,ＳＡＮＫＹＯ,機械,小売・サービス
6465,ホシザキ,機械,小売・サービス
7453,良品計画,小売業,小売・サービス
7476,アズワン,卸売業,小売・サービス
7730,マニー,精密機器,小売・サービス
7832,バンダイナムコホールディングス,その他製品,小売・サービス
8086,ニプロ,精密機器,小売・サービス
8111,ゴールドウイン,繊維製品,小売・サービス
8227,しまむら,小売業,小売・サービス
8273,イズミ,小売業,小売・サービス
8282,ケーズホールディングス,小売業,小売・サービス
8876,リログループ,サービス業,小売・サービス
9064,ヤマトホールディングス,陸運業,小売・サービス
9432,日本電信電話,情報･通信業,小売・サービス
9433,ＫＤＤＩ,情報･通信業,小売・サービス
9435,光通信,情報･通信業,小売・サービス
9684,スクウェア・エニックス・ホールディングス,情報･通信業,小売・サービス
9697,カプコン,情報･通信業,小売・サービス
9735,セコム,サービス業,小売・サービス
9783,ベネッセホールディングス,サービス業,小売・サービス
9831,ヤマダホールディングス,小売業,小売・サービス
9832,オートバックスセブン,卸売業,小売・サービス
9434,ソフトバンク,情報･通信業,小売・サービス
7780,メニコン,精密機器,小売・サービス
8253,クレディセゾン,その他金融業,証券・金融
8439,東京センチュリー,その他金融業,証券・金融
8473,ＳＢＩホールディングス,証券･商品先物取引業,証券・金融
8570,イオンフィナンシャルサービス,その他金融業,証券・金融
8591,オリックス,その他金融業,証券・金融
8593,三菱ＨＣキャピタル,その他金融業,証券・金融
8595,ジャフコ　グループ,証券･商品先物取引業,証券・金融
8601,大和証券グループ本社,証券･商品先物取引業,証券・金融
8604,野村ホールディングス,証券･商品先物取引業,証券・金融
8697,日本取引所グループ,その他金融業,証券・金融
1332,ニッスイ,水産・農林業,食品
1333,マルハニチロ,水産・農林業,食品
2002,日清製粉グループ本社,食料品,食品
2282,日本ハム,食料品,食品
2501,サッポロホールディングス,食料品,食品
2502,アサヒグループホールディングス,食料品,食品
2503,キリンホールディングス,食料品,食品
2531,宝ホールディングス,食料品,食品
2587,サントリー食品インターナショナル,食料品,食品
2801,キッコーマン,食料品,食品
2810,ハウス食品グループ本社,食料品,食品
2811,カゴメ,食料品,食品
7947,エフピコ,化学,食品
2201,森永製菓,食料品,食品
2206,江崎グリコ,食料品,食品
2212,山崎製パン,食料品,食品
2229,カルビー,食料品,食品
2264,森永乳業,食料品,食品
2267,ヤクルト本社,食料品,食品
2269,明治ホールディングス,食料品,食品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,食品
