Code,CompanyName,SubSector,Sector,Current
3101,東洋紡,鉄鋼・アルミ,コモディティ（軽金属）,1
5703,日本軽金属ホールディングス,鉄鋼・アルミ,コモディティ（軽金属）,1
7004,カナデビア,鉄鋼・アルミ,コモディティ（軽金属）,1
5408,中山製鋼所,鉄鋼・アルミ,コモディティ（軽金属）,1
5445,東京鐵鋼,鉄鋼・アルミ,コモディティ（軽金属）,1
5741,ＵＡＣＪ,鉄鋼・アルミ,コモディティ（軽金属）,1
5423,東京製鐵,鉄鋼・アルミ,コモディティ（軽金属）,1
5440,共英製鋼,鉄鋼・アルミ,コモディティ（軽金属）,1
5202,日本板硝子,鉄鋼・アルミ,コモディティ（軽金属）,1
4028,石原産業,鉄鋼・アルミ,コモディティ（軽金属）,1
5480,日本冶金工業,鉄鋼・アルミ,コモディティ（軽金属）,1
5563,新日本電工,鉄鋼・アルミ,コモディティ（軽金属）,1
5726,大阪チタニウムテクノロジーズ,チタン,コモディティ（軽金属）,1
5727,東邦チタニウム,チタン,コモディティ（軽金属）,1
8002,丸紅,商社（大手）,コモディティ（商社）,1
8053,住友商事,商社（大手）,コモディティ（商社）,1
8015,豊田通商,商社（大手）,コモディティ（商社）,1
8078,阪和興業,商社（大手）,コモディティ（商社）,1
8031,三井物産,商社（大手）,コモディティ（商社）,1
8058,三菱商事,商社（大手）,コモディティ（商社）,1
8001,伊藤忠商事,商社（大手）,コモディティ（商社）,1
8088,岩谷産業,商社（大手）,コモディティ（商社）,1
2768,双日,商社（大手）,コモディティ（商社）,1
8020,兼松,商社（大手）,コモディティ（商社）,1
3861,王子ホールディングス,製紙,コモディティ（製紙）,1
3863,日本製紙,製紙,コモディティ（製紙）,1
3865,北越コーポレーション,製紙,コモディティ（製紙）,1
3880,大王製紙,製紙,コモディティ（製紙）,1
3941,レンゴー,製紙,コモディティ（製紙）,1
5410,合同製鐵,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5401,日本製鉄,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5444,大和工業,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5471,大同特殊鋼,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5411,ＪＦＥホールディングス,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5482,愛知製鋼,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5406,神戸製鋼所,鉄鋼・アルミ,コモディティ（鉄鋼）,1
5713,住友金属鉱山,非鉄金属,コモディティ（非鉄金属）,1
5714,ＤＯＷＡホールディングス,非鉄金属,コモディティ（非鉄金属）,1
1515,日鉄鉱業,非鉄金属,コモディティ（非鉄金属）,1
5706,三井金属鉱業,非鉄金属,コモディティ（非鉄金属）,1
5711,三菱マテリアル,非鉄金属,コモディティ（非鉄金属）,1
6703,沖電気工業,非鉄金属,コモディティ（非鉄金属）,1
9401,ＴＢＳホールディングス,テレビ1,テレビ,1
9409,テレビ朝日ホールディングス,テレビ1,テレビ,1
9412,スカパーＪＳＡＴホールディングス,テレビ1,テレビ,1
4676,フジ・メディア・ホールディングス,テレビ2,テレビ,1
9404,日本テレビホールディングス,テレビ2,テレビ,1
9413,テレビ東京ホールディングス,テレビ2,テレビ,1
4502,武田薬品工業,医薬品（最大手）,医薬品（最大手）・電話,1
4503,アステラス製薬,医薬品（最大手）,医薬品（最大手）・電話,1
4568,第一三共,医薬品（最大手）,医薬品（最大手）・電話,1
4516,日本新薬,医薬品（最大手）,医薬品（最大手）・電話,1
4528,小野薬品工業,医薬品（最大手）,医薬品（最大手）・電話,1
4536,参天製薬,医薬品（最大手）,医薬品（最大手）・電話,1
4578,大塚ホールディングス,医薬品（最大手）,医薬品（最大手）・電話,1
9432,日本電信電話,電話,医薬品（最大手）・電話,1
9433,ＫＤＤＩ,電話,医薬品（最大手）・電話,1
9984,ソフトバンクグループ,電話,医薬品（最大手）・電話,1
4151,協和キリン,医薬品（大手）,医薬品（大手）・医療機器,1
4506,住友ファーマ,医薬品（大手）,医薬品（大手）・医療機器,1
4507,塩野義製薬,医薬品（大手）,医薬品（大手）・医療機器,1
4519,中外製薬,医薬品（大手）,医薬品（大手）・医療機器,1
4523,エーザイ,医薬品（大手）,医薬品（大手）・医療機器,1
4543,テルモ,医療機器,医薬品（大手）・医療機器,1
6869,シスメックス,医療機器,医薬品（大手）・医療機器,1
7733,オリンパス,医療機器,医薬品（大手）・医療機器,1
7747,朝日インテック,医療機器,医薬品（大手）・医療機器,1
4534,持田製薬,医薬品（中堅）,医薬品（中堅・卸）,1
4559,ゼリア新薬工業,医薬品（中堅）,医薬品（中堅・卸）,1
4530,久光製薬,医薬品（中堅）,医薬品（中堅・卸）,1
4540,ツムラ,医薬品（中堅）,医薬品（中堅・卸）,1
4521,科研製薬,医薬品（中堅）,医薬品（中堅・卸）,1
4547,キッセイ薬品工業,医薬品（中堅）,医薬品（中堅・卸）,1
4549,栄研化学,医薬品（中堅）,医薬品（中堅・卸）,1
4569,杏林製薬,医薬品（中堅）,医薬品（中堅・卸）,1
4544,Ｈ．Ｕ．グループホールディングス,医薬品（中堅）,医薬品（中堅・卸）,1
4694,ビー・エム・エル,医薬品（中堅）,医薬品（中堅・卸）,1
4553,東和薬品,医薬品（ジェネリック）,医薬品（中堅・卸）,1
4887,サワイグループホールディングス,医薬品（ジェネリック）,医薬品（中堅・卸）,1
2784,アルフレッサ ホールディングス,医薬品卸,医薬品（中堅・卸）,1
3360,シップヘルスケアホールディングス,医薬品卸,医薬品（中堅・卸）,1
7459,メディパルホールディングス,医薬品卸,医薬品（中堅・卸）,1
8129,東邦ホールディングス,医薬品卸,医薬品（中堅・卸）,1
9987,スズケン,医薬品卸,医薬品（中堅・卸）,1
7860,エイベックス,映画・音楽,映画・音楽,1
9601,松竹,映画・音楽,映画・音楽,1
9602,東宝,映画・音楽,映画・音楽,1
9605,東映,映画・音楽,映画・音楽,1
7970,信越ポリマー,化学（その他）,化学工業（環境・電子・工具）,1
8154,加賀電子,化学（その他）,化学工業（環境・電子・工具）,1
2760,東京エレクトロン デバイス,電子商社・化学,化学工業（環境・電子・工具）,1
7433,伯東,電子商社・化学,化学工業（環境・電子・工具）,1
7839,ＳＨＯＥＩ,電子商社・化学,化学工業（環境・電子・工具）,1
4187,大阪有機化学工業,電子商社・化学,化学工業（環境・電子・工具）,1
7715,長野計器,電子商社・化学,化学工業（環境・電子・工具）,1
6406,フジテック,産機部品・工具,化学工業（環境・電子・工具）,1
5310,東洋炭素,産機部品・工具,化学工業（環境・電子・工具）,1
6118,アイダエンジニアリング,産機部品・工具,化学工業（環境・電子・工具）,1
6140,旭ダイヤモンド工業,産機部品・工具,化学工業（環境・電子・工具）,1
5331,ノリタケ,産機部品・工具,化学工業（環境・電子・工具）,1
6278,ユニオンツール,産機部品・工具,化学工業（環境・電子・工具）,1
6363,酉島製作所,産機部品・工具,化学工業（環境・電子・工具）,1
5351,品川リフラクトリーズ,耐火物,化学工業（環境・電子・工具）,1
5352,黒崎播磨,耐火物,化学工業（環境・電子・工具）,1
7721,東京計器,耐火物,化学工業（環境・電子・工具）,1
6368,オルガノ,環境・化学,化学工業（環境・電子・工具）,1
6454,マックス,環境・化学,化学工業（環境・電子・工具）,1
6866,日置電機,環境・化学,化学工業（環境・電子・工具）,1
4078,堺化学工業,環境・化学,化学工業（環境・電子・工具）,1
4216,旭有機材,環境・化学,化学工業（環境・電子・工具）,1
6914,オプテックスグループ,環境・化学,化学工業（環境・電子・工具）,1
6277,ホソカワミクロン,環境・化学,化学工業（環境・電子・工具）,1
6490,ＰＩＬＬＡＲ,環境・化学,化学工業（環境・電子・工具）,1
7739,キヤノン電子,環境・化学,化学工業（環境・電子・工具）,1
7995,バルカー,環境・化学,化学工業（環境・電子・工具）,1
4901,富士フイルムホールディングス,光学機器,化学工業（光学機器）,1
7731,ニコン,光学機器,化学工業（光学機器）,1
7751,キヤノン,光学機器,化学工業（光学機器）,1
7752,リコー,光学機器,化学工業（光学機器）,1
4902,コニカミノルタ,光学機器,化学工業（光学機器）,1
7740,タムロン,光学機器,化学工業（光学機器）,1
6448,ブラザー工業,プリンター,化学工業（光学機器）,1
6724,セイコーエプソン,プリンター,化学工業（光学機器）,1
6287,サトー,リテール機器,化学工業（光学機器）,1
6588,東芝テック,リテール機器,化学工業（光学機器）,1
6101,ツガミ,工作機械,化学工業（重機・重工）,1
6135,牧野フライス製作所,工作機械,化学工業（重機・重工）,1
6143,ソディック,工作機械,化学工業（重機・重工）,1
7105,三菱ロジスネクスト,工作機械,化学工業（重機・重工）,1
6113,アマダ,工作機械,化学工業（重機・重工）,1
6141,ＤＭＧ森精機,工作機械,化学工業（重機・重工）,1
6361,荏原製作所,工作機械,化学工業（重機・重工）,1
5631,日本製鋼所,工作機械,化学工業（重機・重工）,1
6103,オークマ,工作機械,化学工業（重機・重工）,1
6302,住友重機械工業,工作機械,化学工業（重機・重工）,1
6104,芝浦機械,工作機械,化学工業（重機・重工）,1
6652,ＩＤＥＣ,工作機械,化学工業（重機・重工）,1
6301,小松製作所,重機・建機,化学工業（重機・重工）,1
6305,日立建機,重機・建機,化学工業（重機・重工）,1
6326,クボタ,重機・建機,化学工業（重機・重工）,1
6395,タダノ,重機・建機,化学工業（重機・重工）,1
7011,三菱重工業,重工業,化学工業（重機・重工）,1
7224,新明和工業,重工業,化学工業（重機・重工）,1
1963,日揮ホールディングス,重工業,化学工業（重機・重工）,1
6269,三井海洋開発,重工業,化学工業（重機・重工）,1
7013,ＩＨＩ,重工業,化学工業（重機・重工）,1
7936,アシックス,重工業,化学工業（重機・重工）,1
7003,三井Ｅ＆Ｓ,重工業,化学工業（重機・重工）,1
7012,川崎重工業,重工業,化学工業（重機・重工）,1
6996,ニチコン,抵抗器,化学工業（重機・重工）,1
6999,ＫＯＡ,抵抗器,化学工業（重機・重工）,1
3036,アルコニックス,化学（素材・商社）,化学工業（素材・商社）,1
6013,タクマ,化学（素材・商社）,化学工業（素材・商社）,1
8074,ユアサ商事,化学（素材・商社）,化学工業（素材・商社）,1
3569,セーレン,化学（素材・商社）,化学工業（素材・商社）,1
7226,極東開発工業,化学（素材・商社）,化学工業（素材・商社）,1
8051,山善,化学（素材・商社）,化学工業（素材・商社）,1
8098,稲畑産業,化学（素材・商社）,化学工業（素材・商社）,1
4996,クミアイ化学工業,化学（素材・商社）,化学工業（素材・商社）,1
7966,リンテック,化学（素材・商社）,化学工業（素材・商社）,1
5451,淀川製鋼所,化学（素材・商社）,化学工業（素材・商社）,1
6498,キッツ,化学（素材・商社）,化学工業（素材・商社）,1
8012,長瀬産業,化学（素材・商社）,化学工業（素材・商社）,1
4044,セントラル硝子,化学（素材・商社）,化学工業（素材・商社）,1
4045,東亞合成,化学（素材・商社）,化学工業（素材・商社）,1
4401,ＡＤＥＫＡ,化学（素材・商社）,化学工業（素材・商社）,1
4634,ａｒｔｉｅｎｃｅ,化学（素材・商社）,化学工業（素材・商社）,1
4617,中国塗料,化学（素材・商社）,化学工業（素材・商社）,1
4633,サカタインクス,化学（素材・商社）,化学工業（素材・商社）,1
5857,ＡＲＥホールディングス,貴金属回収,化学工業（素材・商社）,1
