Code,CompanyName,Sector
9997,ベルーナ,カタログ通販
9989,サンドラッグ,ドラッグストア
9987,スズケン,医薬品卸
9984,ソフトバンクグループ,デジタル
9983,ファーストリテイリング,アパレル
9974,ベルク,食品スーパー
9962,ミスミグループ本社,計測・制御
9956,バローホールディングス,食品スーパー
9948,アークス,食品スーパー
9934,因幡電機産業,建築資材
9889,ＪＢＣＣホールディングス,システム開発
9882,イエローハット,物流・自動車販売
9869,加藤産業,食品（農産加工）
9861,吉野家ホールディングス,外食
9843,ニトリホールディングス,食品（その他）
9842,アークランズ,その他量販店
9832,オートバックスセブン,物流・自動車販売
9831,ヤマダホールディングス,家電量販店
9830,トラスコ中山,産機
9828,Ｇｅｎｋｉ Ｇｌｏｂａｌ Ｄｉｎｉｎｇ Ｃｏｎｃｅｐｔｓ,外食
9793,ダイセキ,機能性材料
9790,福井コンピュータホールディングス,ITソリューション
9787,イオンディライト,総合スーパー
9766,コナミグループ,ゲームソフト
9759,ＮＳＤ,システム開発
9757,船井総研ホールディングス,人材サービス
9749,富士ソフト,システム開発
9746,ＴＫＣ,ITサービス
9744,メイテックグループホールディングス,人材サービス
9743,丹青社,人材サービス
9735,セコム,住宅
9722,藤田観光,デジタル
9719,ＳＣＳＫ,ITソリューション
9716,乃村工藝社,人材サービス
9715,トランス・コスモス,広告・印刷
9706,日本空港ビルデング,旅客（外需）
9697,カプコン,ゲームソフト
9692,シーイーシー,システム開発
9684,スクウェア・エニックス・ホールディングス,ゲームソフト
9682,ＤＴＳ,ITソリューション
9678,カナモト,建築資材
9672,東京都競馬,リース
9627,アインホールディングス,ドラッグストア
9616,共立メンテナンス,旅客（外需）
9613,ＮＴＴデータグループ,ITソリューション
9605,東映,デジタル
9603,エイチ・アイ・エス,旅客（外需）
9602,東宝,旅客（内需）
9601,松竹,旅客（内需）
9543,静岡ガス,ガス
9533,東邦瓦斯,ガス
9532,大阪瓦斯,ガス
9531,東京瓦斯,ガス
9513,電源開発,電力
9511,沖縄電力,電力
9509,北海道電力,電力
9508,九州電力,電力
9507,四国電力,電力
9506,東北電力,電力
9505,北陸電力,電力
9504,中国電力,電力
9503,関西電力,電力
